                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1571,                 4.4479,                 1.3055,                 0.0155,                0.04038,                0.01903,                0.01105,                 2.1524,                 4.3336,                 1.0887,             0.00015876,             0.00015876,             0.00015876
                      2,                  2.262,                 3.5685,                 1.1566,                0.03044,                0.12532,                0.05293,                0.02827,                 2.2218,                 3.3594,                 1.1208,              0.0003218,              0.0003218,              0.0003218
                      3,                 2.3305,                 2.9428,                 1.1106,                0.85234,                0.07935,                0.08054,                0.04395,                 2.2199,                 2.7397,                 1.0779,             0.00048321,             0.00048321,             0.00048321
                      4,                 2.1926,                 2.5965,                 1.0782,                0.60083,                 0.0987,                0.09327,                0.05068,                 2.1525,                 2.6324,                 1.0708,             0.00057927,             0.00057927,             0.00057927
                      5,                 2.1846,                 2.2688,                 1.0589,                0.69111,                0.11184,                0.11495,                0.05983,                 2.1081,                 2.2842,                 1.0629,             0.00057927,             0.00057927,             0.00057927
                      6,                 2.1424,                 2.1392,                  1.053,                0.52501,                 0.1308,                0.12131,                0.06652,                 2.1009,                 2.3313,                 1.0406,             0.00057636,             0.00057636,             0.00057636
                      7,                 2.0808,                 1.9987,                 1.0391,                0.50519,                0.14444,                0.14823,                0.08453,                 2.0722,                 2.2564,                 1.0232,             0.00057345,             0.00057345,             0.00057345
                      8,                 2.0484,                 1.8781,                 1.0277,                0.47482,                0.16855,                0.14865,                0.08591,                  2.006,                 1.8871,                 1.0201,             0.00057054,             0.00057054,             0.00057054
                      9,                 2.0099,                 1.8161,                 1.0204,                0.50896,                0.20218,                 0.1739,                0.10535,                 1.9334,                 1.7673,                 1.0155,             0.00056763,             0.00056763,             0.00056763
                     10,                 1.9719,                 1.7317,                 1.0121,                0.57176,                0.17463,                0.19603,                0.11698,                 1.9427,                  1.749,                 1.0138,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.9323,                 1.6751,                 1.0059,                0.49686,                0.19588,                0.20368,                0.12114,                 1.9638,                 1.6947,                 1.0069,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.9448,                 1.6704,                 1.0081,                0.55492,                0.23454,                0.23359,                0.13978,                  1.907,                 1.6147,                 1.0047,             0.00055889,             0.00055889,             0.00055889
                     13,                 1.9175,                  1.629,                0.99488,                0.65596,                0.21158,                 0.2416,                0.14355,                 1.9013,                 1.6454,                  1.001,             0.00055598,             0.00055598,             0.00055598
