                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1934,                 4.3766,                 1.3088,                0.01499,                0.09378,                0.02499,                0.01475,                 2.1398,                    inf,                 1.1122,             0.00015876,             0.00015876,             0.00015876
                      2,                 2.2378,                 3.4005,                  1.138,                0.04276,                0.13674,                0.05736,                 0.0313,                 2.0934,                    inf,                 1.1089,              0.0003202,              0.0003202,              0.0003202
                      3,                 2.2398,                 2.7774,                  1.097,                0.55812,                0.10513,                0.09274,                0.05047,                 2.1025,                 2.5632,                 1.0852,             0.00047838,             0.00047838,             0.00047838
                      4,                  2.104,                 2.4205,                  1.077,                0.50376,                0.12375,                0.10869,                0.05958,                 2.0549,                 2.4728,                 1.1149,             0.00057054,             0.00057054,             0.00057054
                      5,                 2.1022,                 2.1649,                 1.0605,                0.55162,                0.14072,                0.13743,                0.07835,                 1.9661,                 2.2148,                 1.0713,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.0409,                 2.0383,                 1.0505,                0.53885,                0.16972,                0.13889,                0.07902,                 1.9529,                 2.0333,                 1.0632,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.9732,                 1.9081,                 1.0414,                0.42992,                0.21574,                0.19639,                0.11741,                 1.8885,                 1.9501,                 1.0368,             0.00055889,             0.00055889,             0.00055889
                      8,                  1.972,                  1.821,                 1.0345,                0.56795,                 0.2261,                0.20959,                0.12656,                 1.8802,                 1.9774,                 1.0358,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.9323,                 1.7709,                  1.028,                0.58354,                0.23874,                0.23299,                0.15463,                 1.8383,                 1.7341,                 1.0256,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.8959,                 1.6982,                 1.0186,                0.57799,                0.27383,                 0.2413,                0.15112,                 1.8368,                 1.7665,                 1.0181,             0.00054143,             0.00054143,             0.00054143
                     11,                  1.867,                 1.6382,                 1.0127,                0.37788,                0.32011,                0.26391,                0.16093,                   1.83,                 1.6511,                 1.0212,             0.00053561,             0.00053561,             0.00053561
                     12,                  1.859,                 1.6303,                 1.0099,                0.60673,                0.30092,                0.29281,                0.18686,                 1.7888,                 1.6524,                 1.0109,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.8572,                 1.6026,                 1.0021,                0.51098,                0.32439,                0.29806,                0.19667,                   1.76,                 1.5483,                 1.0061,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.8149,                 1.5568,                 1.0013,                0.57392,                0.31192,                 0.3036,                0.19371,                 1.7931,                 1.5827,                 1.0152,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8102,                 1.5511,                0.99307,                0.36049,                0.33836,                0.32504,                0.21698,                 1.7417,                  1.506,                 1.0006,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.8073,                 1.5152,                0.99466,                0.56398,                 0.3526,                0.32335,                0.20655,                 1.7329,                 1.5602,                 0.9965,              0.0005065,              0.0005065,              0.0005065
                     17,                  1.776,                 1.4726,                0.98754,                0.49324,                0.34267,                0.34542,                0.22795,                 1.7332,                 1.4827,                 1.0067,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.7577,                 1.4519,                0.98171,                0.43526,                0.38516,                0.37125,                0.24759,                 1.7001,                 1.4397,                0.99326,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.7311,                 1.4205,                0.98032,                 0.5232,                0.39789,                0.40116,                0.26182,                 1.7017,                 1.3736,                0.98748,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.7358,                 1.4034,                 0.9754,                0.49265,                0.38319,                0.37784,                0.22621,                  1.817,                 1.4603,                 1.0107,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.7743,                 1.4248,                0.98034,                0.54447,                0.40225,                0.39623,                0.26555,                 1.6931,                 1.3541,                0.99343,              0.0004774,              0.0004774,              0.0004774
